Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BUZZER1,YS-SBZ9032C03R16_C409828,BUZ-SMD_FUET-9025-XXV,5.2,0.5,-90.0,top
C1,47uF,C_0805_2012Metric,3.65,9.65,-90.0,top
C2,100nF,C_0805_2012Metric,-10.0,-9.35,-90.0,top
C3,100nF,C_0805_2012Metric,7.95,9.55,-90.0,top
C4,100nF,C_0805_2012Metric,-7.9,-9.35,-90.0,top
D1,1N4148W,D_SOD-123,1.15,9.0,90.0,top
D2,1N4148W,D_SOD-123,-8.85,-0.27125,0.0,top
D3,1N4148W,D_SOD-123,-3.8,-0.27125,0.0,top
Q1,MMBT3904,SOT-23,9.75,-8.4125,270.0,top
R1,10k,R_0805_2012Metric,-7.5,9.8,-90.0,top
R2,10k,R_0805_2012Metric,-1.95,9.8,-90.0,top
R3,10k,R_0805_2012Metric,-5.55,9.8,-90.0,top
R6,10K,R_0805_2012Metric,0.55,-8.35,0.0,top
R7,1k,R_0805_2012Metric,6.55,-8.55,-90.0,top
U2,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,-5.85,3.92875,270.0,top
U3,ATtiny85-20SU,SOIC-8W_5.3x5.3mm_P1.27mm,-6.05,-4.4,90.0,top
